Song_Name,Song_Artist,Song_Vocalist,Song_Plays,Year_Released
Senbonzakura,Kurousa-P,Miku,38.3,2011
Kocchi Muite Baby,ryo,Miku,6,2010
Marginal,OSTER project,Miku,0.4,2008
Love-Coloured Ward,OSTER project,Miku,2.5,2009
Colourful x Melody,OSTER project & doriko,Miku & Rin,1.2,2010
Fire◎Flower,halyosy,Len,7.1,2008
Butterfly on Your Right Shoulder,noripy,Rin & Len,38,2009
Melancholic,Junky,Rin,26,2010
Kokoro,Toraboruta,Rin,6.5,2008
Torinoko City,40mP,Miku,10.5,2010
Close and Open,HACHI,Miku,11,2009
Romeo and Cinderella,doriko,Miku,66,2009
Piano×Forte×Scandal,OSTER project,Meiko,3,2008
Pane dhiria,ShinjouP,Kaito,0.5,2010
A Thousand-Year Solo,yanagiP,Kaito,1.3,2008
PoPiPo,LamazeP,Miku,5,2008
The Snow White Princess is,Noboru,Miku,4.9,2010
Double Lariat,Agoaniki,Luka,13.1,2009
Luka Luka★Night Fever,samfree,Luka,36.5,2009
Secret Police,BuririP,Miku,1,2010
Yellow,kz,Miku,1,2010
Melt,ryo,Miku,34,2007
The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5,2010
Tell Your World,kz,Miku,50.5,2012
I'll Make You Do the Miku Miku♪ (You'll Do It),ika,Miku,17.4,2007
letter song,doriko,Miku,0.5,2008
Sharing The World,BIGHEAD,Miku,1.3,2014
Glass Wall,GuitarHeroPianoZero,Miku,2.1,2014
Parades,whoo,Miku,0.1,2010
Just be Friends,Dixie Flatline,Luka,18.7,2014
World is Mine,"ryo, supercell",Miku,67.5,2008
Starduster,JimmyThumbP,Miku,1.2,2009
2D Dream Fever,PolyphonicBranch,Miku,3.1,2012
Two-Sided Lovers,Wowaka,Miku,43.5,2009
Common World Denomination,PinnochioP,Miku,19.7,2012
Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2,2011
Meltdown,iroha,Rin,55.8,2008
Spinning Song,DATEKEN,Rin & Len,1.1,2009
Weekender Girl,kz & HachioujiP,Miku,15.7,2012
World's End Dancehall,wowaka,Miku & Luka,45.5,2010
Daybreak Arrival,Last Note,Miku & Luka,5.2,2012
Change Me,shu-t,Meiko,1.7,2009
Deep Sea Girl,Yuuyu,Miku,29.3,2010
"Last Night, Good Night",kz,Miku,3.8,2008
Cat Food,doriko,Miku,4.2,2010
ODDS&ENDS,ryo,Miku,17.5,2012
Moon West River,SolPie,Miku,0.1,2012
39,DECO*27 & sasakure,Miku,7.2,2012
Star Fragment,marasy,Miku,0.1,2016
The Disappearance of Hatsune Miku -DEAD END-,cosMo@BousouP,Miku,20.7,2008
Unhappy Refrain,wowaka,Miku,18.3,2011
magnet,Minato Takahiro,Miku & Luka,10.1,2009
Love Words,DECO*27,Miku,5.2,2009
Snowman,halyosy,Kaito,0.1,2013
Remote Control,JesusP,Rin & Len,19.2,2011
Love is War,ryo,Miku,4,2008
Ten Thousand Stars,CircusP,Miku,2.8,2015
Blue Star,HachioujiP,Miku,0.5,2015
Cumulonimbus Graffiti,ryo,Miku,1.5,2011
celluloid,baker,Miku,1.1,2007
"1, 2 Fanclub",MikitoP,Rin & Len,1.2,2017
Streaming Heart,DECO*27,Miku,16.8,2014
Whimsical Mercy,HachioujiP,Miku,79.3,2016
Though My Song Has No Form,doriko,Miku,0.1,2009
Raspberry＊Monster,Gom & HoneyWorks,Miku,4.3,2013
Ghost Rule,DECO*27,Miku,127.9,2016
Resonate ,Giga,Miku,37.3,2014
Doctor=Funk Beat,nyanyannya,Kaito,13.2,2015
Love Suicide in Oblivion,OPA,Meiko,1,2007
Chentaku,SonaOne,Miku,0.1,2017
Alien Alien,Nayutan Seijin,Miku,51.3,2015
Venus at the Fingertips,mohax_2000,Miku,0.3,2011
8HIT,JesusP,Rin & Len,2.2,2011
Satisfaction,kz,Miku,2.3,2016
Ageage Again,Mitchie M,Miku,12.2,2013
Dappou Rock,Neru,Len,51.7,2016
glow,OPA,Meiko,5.4,2010
Through The Night,Slushii,Miku,4.2,2018
Envy Catwalk,Tohma,Miku,8,2011
Can't Make A Song!!,beat_shobon,Miku,0.5,2018
Gemini,Dixie Flatline,Rin & Len,1.9,2008
Nyanyanyanyanyanyanyanyanya!,daniwell,Miku,12,2010
Sakura Rain,halyosy,Miku,5.9,2008
Decade,Dixie Flatline,Miku,4.6,2018
DUNE,HACHI,Miku,133.7,2017
Miku,Anamanaguchi,Miku,217.3,2017
Unknown Mother Goose,wowaka,Miku,90.8,2017
ROKI,MikitoP,Miku,147.4,2018
BRING IT ON,Giga,Rin & Len,113.6,2018
Cybernetic,CircusP,Miku,0.3,2017
Stardust Utopia,otetsu,Luka,3.4,2009
Birthday,ryuryu,Miku,0.2,2016
Music Like Magic!,OSTER project,Miku,4.9,2018
Electric Angel,yasuo,Miku,48.8,2007
Viva Happy,Mitchie M,Miku,34.4,2013
The First Sound,malo,Miku,4,2007
I'll Miku Miku You♪,ika,Miku,3.3,2007
"Kill, Carry On",Police Piccadilly,Miku,10.4,2016
Nostalogic,yuukiss,Meiko,2.6,2014
Sweet Magic,Junky,Rin,3.6,2012
Dreamless Dreams,Harumaki Gohan,Miku,3.9,2017
Hello Worker,KEI,Luka,2.6,2011
Never Die,yuyoyuppe,Luka,0.4,2019
Lucky☆Orb,emon,Miku,6.3,2018
Theo,Kimura & Sakurai,Miku,46.9,2017
Attakaito,halyosy,Kaito,3.6,2016
Ramnade Blue Longing,Aoto Kei,Meiko,0.3,2017
Hyper Reality Show,Utsu-P,Miku,0.9,2019
MikuFiesta,AlexTrip Sands,Miku,1.5,2019
No Logic,JimmyThumbP,Luka,3,2009
Even If It's Your Happiness,Heavenz,Luka,1.2,2019
Jump for Joy,EasyPop,Miku & Luka,2.2,2019
Rolling Girl,wowaka,Miku,87.7,2010
SPARKS,DECO*27 & Rockwell,Miku,93.5,2017
Ooedo Julia-Night,Mitchie M,Miku & Kaito,27.2,2017
Thousand Little Voices,Flanger Moose & Vault Kid,Miku,0.3,2020
Highlight,KIRA,Miku,1.8,2020
Fräulein=Biblioteka,nyanyannya,Meiko,3.7,2015
Literacy,Wotaku,Kaito,1.5,2021
Midnight Surf,Ashika kamo shika,Kaito & Meiko,0.1,2022
vivid,Yuyoyuppe & Utsu-P,Miku,0.7,2020
Plaything,Mizu & Tsus,Miku,0.6,2023
imaginary love story,Synthion,Miku,1.2,2023
Vampire,DECO*27 & Rockwell,Miku,170,2021
Tensai Rock,Karasuya Sabou,Miku,3.5,2017
HERESY,daraku,Len,1.6,2022
Childish War,Giga,Rin & Len,24.8,2013
on the rocks,OSTER project,Kaito & Meiko,4,2014
M@GICAL☆CURE! LOVE ♥ SHOT,SAWTOWNE,Miku,68.3,2023
Gimme x Gimme,Giga & HachioujiP,Miku & Rin,72.5,2019
Intergalactic Bound,CircusP & Yunosuke,Miku,8.6,2024
New Human Race,kemu & JIN & bibi & marasy,Rin,11.5,2023
Telecaster B-Boy,Surii,Len,91.1,2020
Red Land Marker,Twinfield,Meiko,1.7,2022

lost and found,ashcolor,Luka,0.2,2013

